Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Country,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID
20847,High,0.01,2.84,0.93,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,0.54,United States,West,Washington,Anacortes,98221,2015-01-07,2015-01-08,4.56,4,13.01,88522
20228,Not Specified,0.02,500.98,26.0,5,Ronnie Proctor,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,0.6,United States,West,California,San Gabriel,91776,2015-06-13,2015-06-15,4390.3665,12,6362.85,90193
21776,Critical,0.06,9.48,7.29,11,Marcus Dunlap,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",0.45,United States,East,New Jersey,Roselle,7203,2015-02-15,2015-02-17,-53.8096,22,211.15,90192
24844,Medium,0.09,78.69,19.99,14,Gwendolyn F Tyson,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,0.43,United States,Central,Minnesota,Prior Lake,55372,2015-05-12,2015-05-14,803.4705,16,1164.45,86838
24846,Medium,0.08,3.28,2.31,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 321,0.56,United States,Central,Minnesota,Prior Lake,55372,2015-05-12,2015-05-13,-24.03,7,22.23,86838
24847,Medium,0.05,3.28,4.2,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 351,0.56,United States,Central,Minnesota,Prior Lake,55372,2015-05-12,2015-05-13,-37.03,4,13.99,86838
24848,Medium,0.05,3.58,1.63,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,"OIC Colored Binder Clips, Assorted Sizes",0.36,United States,Central,Minnesota,Prior Lake,55372,2015-05-12,2015-05-13,-0.71,4,14.26,86838
18181,Critical,0.0,4.42,4.99,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Grip Seal Envelopes,0.38,United States,East,New York,Smithtown,11787,2015-04-08,2015-04-09,-59.82,7,33.47,86837
20925,Medium,0.01,35.94,6.66,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",0.4,United States,East,New York,Smithtown,11787,2015-05-28,2015-05-28,261.87569999999994,10,379.53,86839
26267,High,0.04,2.98,1.58,16,Sarah Ramsey,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Gold Paper Clips,0.39,United States,East,New York,Syracuse,13210,2015-02-12,2015-02-15,2.63,6,18.8,86836
26268,High,0.05,115.99,2.5,16,Sarah Ramsey,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7797,0.55,United States,East,New York,Syracuse,13210,2015-02-12,2015-02-14,652.7330999999999,10,945.99,86836
23890,High,0.05,26.48,6.93,18,Laurie Hanna,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,United States,West,Montana,Helena,59601,2015-05-15,2015-05-16,314.4813,17,455.77,90031
24063,Not Specified,0.07,12.99,9.44,19,Jim Rodgers,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,United States,West,Montana,Missoula,59801,2015-05-21,2015-05-23,-114.63990000000001,18,231.79,90032
5890,High,0.05,26.48,6.93,21,Tony Wilkins Winters,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,United States,East,New York,New York City,10012,2015-05-15,2015-05-16,384.38,70,1876.69,41793
6062,Not Specified,0.08,5.0,3.39,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,0.37,United States,East,New York,New York City,10012,2015-05-21,2015-05-22,-17.49,58,293.06,42949
6063,Not Specified,0.07,12.99,9.44,21,Tony Wilkins Winters,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,United States,East,New York,New York City,10012,2015-05-21,2015-05-23,-114.63990000000001,71,914.29,42949
20631,High,0.06,55.48,14.3,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,United States,West,California,Laguna Niguel,92677,2015-01-28,2015-01-29,-28.2968,1,67.49,87651
20632,High,0.02,1.68,1.57,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,United States,West,California,Laguna Niguel,92677,2015-01-28,2015-01-30,-5.3072,1,2.25,87651
23967,Not Specified,0.04,4.14,6.6,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,0.49,United States,West,California,Lakewood,90712,2015-05-02,2015-05-04,8.894000000000005,12,54.78,87652
23509,High,0.08,34.99,7.73,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Box,Hunt Boston® Vacuum Mount KS Pencil Sharpener,0.59,United States,West,Oregon,Grants Pass,97526,2015-02-22,2015-02-23,144.69,13,424.68,89199
23612,High,0.01,17.98,8.51,32,Matthew Berman,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,0.4,United States,West,Oregon,Grants Pass,97526,2015-03-27,2015-03-28,-35.8788,2,40.17,89200
